YEAR;MUN;INTENSITY_USE_DWELLINGS;CONCEPT;status;value
2021;080351;EMPT_DW_EL_C_MIN;DWELL;;828
2021;080351;LWU_DW_EL_C_UND_250;DWELL;;388
2021;080351;OCCU_DW_EL_C_250_750;DWELL;;1301
2021;080351;REGU_DW_EL_C_MORE_750;DWELL;;8140
2021;080351;TOTAL;DWELL;;10657
2021;080370;EMPT_DW_EL_C_MIN;DWELL;;47
2021;080370;LWU_DW_EL_C_UND_250;DWELL;;21
2021;080370;OCCU_DW_EL_C_250_750;DWELL;;45
2021;080370;REGU_DW_EL_C_MORE_750;DWELL;;912
2021;080370;TOTAL;DWELL;;1025
2021;080386;EMPT_DW_EL_C_MIN;DWELL;;80
2021;080386;LWU_DW_EL_C_UND_250;DWELL;;30
2021;080386;OCCU_DW_EL_C_250_750;DWELL;;75
2021;080386;REGU_DW_EL_C_MORE_750;DWELL;;826
2021;080386;TOTAL;DWELL;;1011
